id,timestamp,target
DE,2017-10-20 00:00:00+00:00,64
DE,2017-10-20 01:00:00+00:00,94
DE,2017-10-20 02:00:00+00:00,108
DE,2017-10-20 03:00:00+00:00,114
DE,2017-10-20 04:00:00+00:00,131
DE,2017-10-20 05:00:00+00:00,153
DE,2017-10-20 06:00:00+00:00,170
DE,2017-10-20 07:00:00+00:00,129
DE,2017-10-20 08:00:00+00:00,117
DE,2017-10-20 09:00:00+00:00,97
DE,2017-10-20 10:00:00+00:00,64
DE,2017-10-20 11:00:00+00:00,49
DE,2017-10-20 12:00:00+00:00,40
DE,2017-10-20 13:00:00+00:00,53
DE,2017-10-20 14:00:00+00:00,71
DE,2017-10-20 15:00:00+00:00,101
DE,2017-10-20 16:00:00+00:00,122
DE,2017-10-20 17:00:00+00:00,147
DE,2017-10-20 18:00:00+00:00,147
DE,2017-10-20 19:00:00+00:00,139
DE,2017-10-20 20:00:00+00:00,129
DE,2017-10-20 21:00:00+00:00,120
DE,2017-10-20 22:00:00+00:00,127
DE,2017-10-20 23:00:00+00:00,140
